URL,home_team,away_team,season_year,season_round,home_team_goals,away_team_goals,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_woodwork,away_team_shots_woodwork,home_team_shots_blocked,away_team_shots_blocked,home_team_shots_off_target,away_team_shots_off_target,home_team_attacks,away_team_attacks,home_team_dangerous_attacks,away_team_dangerous_attacks,home_team_offsides,away_team_offsides,home_team_penalties,away_team_penalties,home_team_yellow_red_cards,away_team_yellow_red_cards,home_team_yellow_cards,away_team_yellow_cards,home_team_red_cards,away_team_red_cards,home_team_fouls,away_team_fouls,home_team_free_kicks,away_team_free_kicks,home_team_goal_kicks,away_team_goal_kicks,home_team_throw_ins,away_team_throw_ins,home_team_corners,away_team_corners
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/goias/internacional/2015512/live,Goias,Internacional,2015,33,2,1, 38% , 62% ,5,4,,,4,1,4,1,62,76,29,35,3,2,,,,,3,3,,,16,13,15,19,6,4,29,23,4,5
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/fluminense/chapecoense/2015516/live,Fluminense,Chapecoense,2015,34,2,3, 56% , 44% ,3, ,,,2,4,2,7,67,61,52,33,3,2,1, ,,,3,3,,,12,13,15,15,7,8,22,13,6,5
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/chapecoense/atletico-pr/2015513/live,Chapecoense,Atletico Pr,2015,33,,, 51% , 49% ,6,1,,,1, ,14,4,77,57,41,15,3,1,,,,,3,4, ,1,11,11,12,14,13,20,27,26,7,4
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/atletico-pr/avai/2015521/live,Atletico Pr,Avai,2015,34,2,1, 58% , 42% ,6,2,1, ,1,3,3,8,69,65,32,38,2,1,,,,,1,2,,,22,11,12,24,9,4,25,19,7,4
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/flamengo/goias/2015517/live,Flamengo,Goias,2015,34,4,1, 59% , 41% ,4,1,,, ,3,5,8,40,48,25,26,4,1,,,,,1, ,,,16,14,15,20,14,6,14,12,5,2
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/figueirense/atletico-mg/2015520/live,Figueirense,Atletico Mg,2015,34, ,1, 42% , 58% ,6,4,,,3,5,4,3,61,61,38,38,4,2,,, , ,2,4,,,13,11,15,17,7,11,25,24,10,6
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/internacional/ponte-preta/2015518/live,Internacional,Ponte Preta,2015,34,1, , 53% , 47% ,2,4,,,3, ,5,5,70,64,44,43, ,4,,,,,2,4,,,21,21,25,21,10,7,22,41,4,6
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/palmeiras/vasco/2015515/live,Palmeiras,Vasco,2015,34, ,2, 53% , 47% ,4,3,1,1,4,1,6,3,62,42,37,19, ,2,,,,,1,4,,,28,13,15,28,6,8,31,16,8,2
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/cruzeiro/sao-paulo/2015519/live,Cruzeiro,Sao Paulo,2015,34,2,1, 50% , 50% ,9,3,,, ,3,4,6,50,49,37,21,4, ,,,,,1,2,,,6,13,13,10,5,9,18,15,6,2
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/cruzeiro/sport/2015529/live,Cruzeiro,Sport,2015,35,3, , 52% , 48% ,4,6,,,2, ,8,6,49,46,34,36,3,3,1, ,,,2,2,,,12,11,15,15,6,13,12,15,13,13
https://www.academiadasapostasbrasil.com/stats/match/brasil/brasileirao-serie-a/ponte-preta/figueirense/2015526/live,Ponte Preta,Figueirense,2015,35, ,1, 68% , 32% ,3,1,,,2,2,9,3,63,34,39,18,3,2, ,1,,,4,4,,,17,24,26,20,8,16,35,13,5,1
